timestamp,player_ammo,player_health,player_armor,game_round,map,player_sight_event,detected_entities,suicide_event,kill_event,score_event,killed_event,itemPicked_event,itemLost_event,newGameRound_event,player_inventory,log_line
2025-03-16 17:14:18,0,0,0,2.0,kaos2,,(),,,,,[],,"New game round started. Changed game round to 2.0 and map to kaos2. Player inventory, kills, and deaths are reset.","{'weapon': {'weapon_machinegun': 1}, 'armor': 0, 'health': 0}",
2025-03-16 17:15:08,0,0,0,3.0,kaos2,,(),,,,,Player_172.19.113.65 picked up Ammo type: ammo_slugs,,"New game round started. Changed game round to 3.0 and map to kaos2. Player inventory, kills, and deaths are reset.","{'weapon': {'weapon_machinegun': 1}, 'armor': {}, 'health': {}}",1742105708.179422: Item: 0 ammo_slugs
2025-03-16 17:15:13,99,125,0,3.0,kaos2,,(),,,,,[],,,"{'weapon': {'weapon_machinegun': 1}, 'armor': {}, 'health': {}}",
2025-03-16 17:15:14,99,124,0,4.0,aggressor,,(),,,,,[],,"New game round started. Changed game round to 4.0 and map to aggressor. Player inventory, kills, and deaths are reset.","{'weapon': {'weapon_machinegun': 1}, 'armor': 0, 'health': 0}",
2025-03-16 17:15:15,99,123,0,4.0,aggressor,,(),,,,,[],,,"{'weapon': {'weapon_machinegun': 1}, 'armor': 0, 'health': 0}",
2025-03-16 17:15:16,99,122,0,4.0,aggressor,,(),,,,,[],,,"{'weapon': {'weapon_machinegun': 1}, 'armor': 0, 'health': 0}",
2025-03-16 17:15:17,0,0,0,4.0,aggressor,,(),,,,,[],,,"{'weapon': {'weapon_machinegun': 1}, 'armor': 0, 'health': 0}",
2025-03-16 17:15:18,100,125,0,4.0,aggressor,"Player saw at 2025-03-16 17:15:18.433000ms: armour at (322.0, 320.0)","(""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}"", ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}"")",,,,,[],,,"{'weapon': {'weapon_machinegun': 1}, 'armor': 0, 'health': 0}",
2025-03-16 17:15:19,100,124,0,4.0,aggressor,"Player saw at 2025-03-16 17:15:19.664000ms: armour at (313.5, 338.0)","(""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}"", ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}"")",,,,,[],,,"{'weapon': {'weapon_machinegun': 1}, 'armor': 0, 'health': 0}",
2025-03-16 17:15:20,100,123,0,4.0,aggressor,"Player saw at 2025-03-16 17:15:20.070000ms: armour at (316.5, 356.0)","(""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}"", ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}"")",,,,,[],,,"{'weapon': {'weapon_machinegun': 1}, 'armor': 0, 'health': 0}",
2025-03-16 17:15:21,100,122,0,4.0,aggressor,"Player saw at 2025-03-16 17:15:21.006000ms: armour at (321.5, 354.5)","(""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}"", ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}"")",,,,,[],,,"{'weapon': {'weapon_machinegun': 1}, 'armor': 0, 'health': 0}",
