raw_timestamp,map,game_round,event_type,event_details
1742105658.628659,kaos2,2,NewGameRound,{'latency': 0}
1742105708.179422,kaos2,2,item,"{'latency': 0, 'item_category': 'Ammo', 'item': 'ammo_slugs', 'player_id': 'player_0', 'player_ip': 'Player_172.19.113.65', 'weapon_inventory': {'weapon_machinegun': 1}, 'weapon_num': 1, 'total_armor_picked': 0, 'armor_picked': {}, 'total_health_picked': 0, 'health_picked': {}, 'latency_map': '{}', 'log_line': '1742105708.179422: Item: 0 ammo_slugs'}"
1742105708.339578,kaos2,3,NewGameRound,{'latency': 0}
1742105714.178086,aggressor,4,NewGameRound,{'latency': 0}
1742105722.764779,aggressor,4,item,"{'latency': 0, 'item_category': 'Armor', 'item': 'item_armor_combat', 'player_id': 'player_0', 'player_ip': 'Player_172.19.113.65', 'weapon_inventory': {'weapon_machinegun': 1}, 'weapon_num': 1, 'total_armor_picked': 50, 'armor_picked': {'item_armor_combat': 1}, 'total_health_picked': 0, 'health_picked': {}, 'latency_map': '{}', 'log_line': '1742105722.764779: Item: 0 item_armor_combat'}"
1742105726.865076,aggressor,4,item,"{'latency': 0, 'item_category': 'Weapon', 'item': 'weapon_rocketlauncher', 'player_id': 'player_0', 'player_ip': 'Player_172.19.113.65', 'weapon_inventory': {'weapon_machinegun': 1, 'weapon_rocketlauncher': 1}, 'weapon_num': 2, 'total_armor_picked': 50, 'armor_picked': {'item_armor_combat': 1}, 'total_health_picked': 0, 'health_picked': {}, 'latency_map': '{}', 'log_line': '1742105726.865076: Item: 0 weapon_rocketlauncher'}"
1742105737.365164,aggressor,4,item,"{'latency': 0, 'item_category': 'Weapon', 'item': 'weapon_lightning', 'player_id': 'player_0', 'player_ip': 'Player_172.19.113.65', 'weapon_inventory': {'weapon_machinegun': 1, 'weapon_rocketlauncher': 1, 'weapon_lightning': 1}, 'weapon_num': 3, 'total_armor_picked': 50, 'armor_picked': {'item_armor_combat': 1}, 'total_health_picked': 0, 'health_picked': {}, 'latency_map': '{}', 'log_line': '1742105737.365164: Item: 0 weapon_lightning'}"
1742105742.464729,aggressor,4,item,"{'latency': 0, 'item_category': 'Weapon', 'item': 'weapon_shotgun', 'player_id': 'player_0', 'player_ip': 'Player_172.19.113.65', 'weapon_inventory': {'weapon_machinegun': 1, 'weapon_rocketlauncher': 1, 'weapon_lightning': 1, 'weapon_shotgun': 1}, 'weapon_num': 4, 'total_armor_picked': 50, 'armor_picked': {'item_armor_combat': 1}, 'total_health_picked': 0, 'health_picked': {}, 'latency_map': '{}', 'log_line': '1742105742.464729: Item: 0 weapon_shotgun'}"
1742105746.365185,aggressor,4,kill,"{'latency': 0, 'killer_id': '0', 'victim_id': '1', 'weapon_id': '6', 'killer_ip': 'Player_172.19.113.65', 'victim_ip': 'Angelyss', 'player_id': '0', 'player_ip': 'Player_172.19.113.65', 'weapon': 'MOD_ROCKET', 'kills': 1, 'deaths': '0', 'kill_dict': ""{'Player_172.19.113.65': 1}"", 'death_dict': ""{'Player_172.19.113.65': 0}"", 'log_line': '1742105746.365185: Kill: 0 1 6: Player_172.19.113.65 killed Angelyss by MOD_ROCKET'}"
1742105747.214956,aggressor,4,score,"{'latency': 0, 'player_id': '0', 'player_ip': 'Player_172.19.113.65', 'points': '1', 'log_line': '1742105747.214956: PlayerScore: 0 1: Player_172.19.113.65 now has 1 points'}"
1742105747.215080,aggressor,4,item,"{'latency': 0, 'item_category': 'Weapon', 'item': 'weapon_plasmagun', 'player_id': 'player_0', 'player_ip': 'Player_172.19.113.65', 'weapon_inventory': {'weapon_machinegun': 1, 'weapon_rocketlauncher': 1, 'weapon_lightning': 1, 'weapon_shotgun': 1, 'weapon_plasmagun': 1}, 'weapon_num': 5, 'total_armor_picked': 50, 'armor_picked': {'item_armor_combat': 1}, 'total_health_picked': 0, 'health_picked': {}, 'latency_map': '{}', 'log_line': '1742105747.215080: Item: 0 weapon_plasmagun'}"
