raw_timestamp,map,game_round,event_type,event_details
1742105718433,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.81620383, 'x': 278, 'y': 277, 'width': 88, 'height': 86, 'box_area': 7568, 'center_x': 322.0, 'center_y': 320.0, 'diff_height': 0.0, 'position_of_object': [278, 277, 88, 86]}"
1742105718433,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7345099, 'x': 277, 'y': 274, 'width': 79, 'height': 85, 'box_area': 6715, 'center_x': 316.5, 'center_y': 316.5, 'diff_height': -1.0, 'position_of_object': [277, 274, 79, 85]}"
1742105718433,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5134761, 'x': 279, 'y': 274, 'width': 85, 'height': 91, 'box_area': 7735, 'center_x': 321.5, 'center_y': 319.5, 'diff_height': 6.0, 'position_of_object': [279, 274, 85, 91]}"
1742105718449,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.67935675, 'x': 266, 'y': 287, 'width': 101, 'height': 81, 'box_area': 8181, 'center_x': 316.5, 'center_y': 327.5, 'diff_height': -10.0, 'position_of_object': [266, 287, 101, 81]}"
1742105718449,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6766447, 'x': 275, 'y': 290, 'width': 78, 'height': 77, 'box_area': 6006, 'center_x': 314.0, 'center_y': 328.5, 'diff_height': -4.0, 'position_of_object': [275, 290, 78, 77]}"
1742105718466,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9077931, 'x': 280, 'y': 302, 'width': 65, 'height': 74, 'box_area': 4810, 'center_x': 312.5, 'center_y': 339.0, 'diff_height': -3.0, 'position_of_object': [280, 302, 65, 74]}"
1742105718484,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5366913, 'x': 278, 'y': 306, 'width': 70, 'height': 67, 'box_area': 4690, 'center_x': 313.0, 'center_y': 339.5, 'diff_height': -7.0, 'position_of_object': [278, 306, 70, 67]}"
1742105718854,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5642426, 'x': 279, 'y': 301, 'width': 72, 'height': 76, 'box_area': 5472, 'center_x': 315.0, 'center_y': 339.0, 'diff_height': 9.0, 'position_of_object': [279, 301, 72, 76]}"
1742105718871,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.57081956, 'x': 280, 'y': 302, 'width': 74, 'height': 76, 'box_area': 5624, 'center_x': 317.0, 'center_y': 340.0, 'diff_height': 0.0, 'position_of_object': [280, 302, 74, 76]}"
1742105718905,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.52816224, 'x': 281, 'y': 300, 'width': 70, 'height': 75, 'box_area': 5250, 'center_x': 316.0, 'center_y': 337.5, 'diff_height': -1.0, 'position_of_object': [281, 300, 70, 75]}"
1742105719664,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.600812, 'x': 276, 'y': 305, 'width': 75, 'height': 66, 'box_area': 4950, 'center_x': 313.5, 'center_y': 338.0, 'diff_height': -9.0, 'position_of_object': [276, 305, 75, 66]}"
1742105719681,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.80691475, 'x': 277, 'y': 307, 'width': 73, 'height': 64, 'box_area': 4672, 'center_x': 313.5, 'center_y': 339.0, 'diff_height': -2.0, 'position_of_object': [277, 307, 73, 64]}"
1742105719698,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8311421, 'x': 279, 'y': 305, 'width': 70, 'height': 66, 'box_area': 4620, 'center_x': 314.0, 'center_y': 338.0, 'diff_height': 2.0, 'position_of_object': [279, 305, 70, 66]}"
1742105719714,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.82959586, 'x': 277, 'y': 305, 'width': 74, 'height': 68, 'box_area': 5032, 'center_x': 314.0, 'center_y': 339.0, 'diff_height': 2.0, 'position_of_object': [277, 305, 74, 68]}"
1742105719732,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8100496, 'x': 276, 'y': 301, 'width': 73, 'height': 72, 'box_area': 5256, 'center_x': 312.5, 'center_y': 337.0, 'diff_height': 4.0, 'position_of_object': [276, 301, 73, 72]}"
1742105719748,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8534072, 'x': 277, 'y': 300, 'width': 71, 'height': 73, 'box_area': 5183, 'center_x': 312.5, 'center_y': 336.5, 'diff_height': 1.0, 'position_of_object': [277, 300, 71, 73]}"
1742105719765,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.84312344, 'x': 276, 'y': 299, 'width': 73, 'height': 77, 'box_area': 5621, 'center_x': 312.5, 'center_y': 337.5, 'diff_height': 4.0, 'position_of_object': [276, 299, 73, 77]}"
1742105719783,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.87978196, 'x': 275, 'y': 299, 'width': 71, 'height': 77, 'box_area': 5467, 'center_x': 310.5, 'center_y': 337.5, 'diff_height': 0.0, 'position_of_object': [275, 299, 71, 77]}"
1742105719800,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.94084805, 'x': 271, 'y': 299, 'width': 77, 'height': 79, 'box_area': 6083, 'center_x': 309.5, 'center_y': 338.5, 'diff_height': 2.0, 'position_of_object': [271, 299, 77, 79]}"
1742105719818,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9049463, 'x': 273, 'y': 296, 'width': 75, 'height': 84, 'box_area': 6300, 'center_x': 310.5, 'center_y': 338.0, 'diff_height': 5.0, 'position_of_object': [273, 296, 75, 84]}"
1742105719834,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9179993, 'x': 275, 'y': 296, 'width': 74, 'height': 84, 'box_area': 6216, 'center_x': 312.0, 'center_y': 338.0, 'diff_height': 0.0, 'position_of_object': [275, 296, 74, 84]}"
1742105719851,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8768276, 'x': 274, 'y': 295, 'width': 76, 'height': 86, 'box_area': 6536, 'center_x': 312.0, 'center_y': 338.0, 'diff_height': 2.0, 'position_of_object': [274, 295, 76, 86]}"
1742105719867,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5415849, 'x': 274, 'y': 298, 'width': 80, 'height': 86, 'box_area': 6880, 'center_x': 314.0, 'center_y': 341.0, 'diff_height': 0.0, 'position_of_object': [274, 298, 80, 86]}"
1742105719902,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6830102, 'x': 273, 'y': 302, 'width': 79, 'height': 78, 'box_area': 6162, 'center_x': 312.5, 'center_y': 341.0, 'diff_height': -8.0, 'position_of_object': [273, 302, 79, 78]}"
1742105719919,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5844872, 'x': 273, 'y': 304, 'width': 79, 'height': 76, 'box_area': 6004, 'center_x': 312.5, 'center_y': 342.0, 'diff_height': -2.0, 'position_of_object': [273, 304, 79, 76]}"
1742105720070,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6028673, 'x': 284, 'y': 309, 'width': 65, 'height': 94, 'box_area': 6110, 'center_x': 316.5, 'center_y': 356.0, 'diff_height': 18.0, 'position_of_object': [284, 309, 65, 94]}"
