raw_timestamp,map,game_round,event_type,event_details
1742105718433,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8162038326263428, 'x': 278, 'y': 277, 'width': 88, 'height': 86, 'box_area': 7568, 'center_x': 322.0, 'center_y': 320.0, 'diff_height': 0.0, 'position_of_object': [278, 277, 88, 86], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105718449,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6793567538261414, 'x': 266, 'y': 287, 'width': 101, 'height': 81, 'box_area': 8181, 'center_x': 316.5, 'center_y': 327.5, 'diff_height': -5.0, 'position_of_object': [266, 287, 101, 81], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105718466,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.90779310464859, 'x': 280, 'y': 302, 'width': 65, 'height': 74, 'box_area': 4810, 'center_x': 312.5, 'center_y': 339.0, 'diff_height': -7.0, 'position_of_object': [280, 302, 65, 74], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105718484,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5366913080215454, 'x': 278, 'y': 306, 'width': 70, 'height': 67, 'box_area': 4690, 'center_x': 313.0, 'center_y': 339.5, 'diff_height': -7.0, 'position_of_object': [278, 306, 70, 67], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105718854,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5642426013946533, 'x': 279, 'y': 301, 'width': 72, 'height': 76, 'box_area': 5472, 'center_x': 315.0, 'center_y': 339.0, 'diff_height': 9.0, 'position_of_object': [279, 301, 72, 76], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105718871,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5708195567131042, 'x': 280, 'y': 302, 'width': 74, 'height': 76, 'box_area': 5624, 'center_x': 317.0, 'center_y': 340.0, 'diff_height': 0.0, 'position_of_object': [280, 302, 74, 76], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105718905,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5281622409820557, 'x': 281, 'y': 300, 'width': 70, 'height': 75, 'box_area': 5250, 'center_x': 316.0, 'center_y': 337.5, 'diff_height': -1.0, 'position_of_object': [281, 300, 70, 75], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105719664,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.6008120179176331, 'x': 276, 'y': 305, 'width': 75, 'height': 66, 'box_area': 4950, 'center_x': 313.5, 'center_y': 338.0, 'diff_height': -9.0, 'position_of_object': [276, 305, 75, 66], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105719681,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.806914746761322, 'x': 277, 'y': 307, 'width': 73, 'height': 64, 'box_area': 4672, 'center_x': 313.5, 'center_y': 339.0, 'diff_height': -2.0, 'position_of_object': [277, 307, 73, 64], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105719698,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8311421275138855, 'x': 279, 'y': 305, 'width': 70, 'height': 66, 'box_area': 4620, 'center_x': 314.0, 'center_y': 338.0, 'diff_height': 2.0, 'position_of_object': [279, 305, 70, 66], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
